title,author,avg_rating,date_added,num_of_pages,genre,rating_num
The Atlantis Complex(Artemis Fowl #7),Eoin Colfer,3.97,2018-12-10,357.0,adventure_stories,3.0
"The Time Paradox(Artemis Fowl, #6)",Eoin Colfer,4.08,2018-12-10,391.0,adventure_and_adventurers_/_fiction,3.0
"The Lost Colony(Artemis Fowl, #5)",Eoin Colfer,4.01,2018-12-09,385.0,adventure_stories,4.0
"The Eternity Code(Artemis Fowl, #3)",Eoin Colfer,4.05,2018-12-07,329.0,adventure_and_adventurers,3.0
The Arctic Incident(Artemis Fowl #2),Eoin Colfer,3.96,2018-12-06,398.0,juvenile_fiction,4.0
"Artemis Fowl(Artemis Fowl, #1)",Eoin Colfer,3.86,2018-12-06,396.0,juvenile_fiction,4.0
"You(You, #1)",Caroline Kepnes,3.96,2018-12-04,424.0,chapbooks,2.0
Baby Teeth,Zoje Stage,3.6,2018-12-03,304.0,fiction,3.0
Nameless,Grant Morrison,3.51,2018-12-03,192.0,comics_&_graphic_novels,
The Wife Between Us,Greer Hendricks,3.83,2018-11-27,432.0,fiction,3.0
"Goblin Slayer, Vol. 5",Kumo Kagyu,4.32,2018-11-14,216.0,fiction,3.0
"Crazy Rich Asians(Crazy Rich Asians, #1)",Kevin Kwan,3.91,2018-11-10,403.0,unknown,5.0
The Testament of Loki(Loki #2),Joanne M. Harris,3.59,2018-11-09,295.0,fiction,3.0
"Goblin Slayer, Vol. 4",Kumo Kagyu,4.03,2018-11-07,216.0,comics_&_graphic_novels,3.0
"The Dragon Republic(The Poppy War, #2)",R.F. Kuang,4.36,2018-10-26,658.0,fiction,
The Scar,Marina Dyachenko,3.91,2018-10-26,452.0,fiction,
"The Collapsing Empire(The Interdependency, #1)",John Scalzi,4.12,2018-10-26,336.0,fiction,
"Goblin Slayer, Vol. 3",Kumo Kagyu,4.18,2018-10-13,239.0,comics_&_graphic_novels,4.0
"Goblin Slayer, Vol. 2",Kumo Kagyu,4.24,2018-10-12,248.0,fiction,4.0
"Goblin Slayer, Vol. 1",Kumo Kagyu,4.11,2018-10-12,232.0,comics_&_graphic_novels,5.0
"29, Single & Nigerian",Naijasinglegirl,3.95,2018-10-12,0.0,comics_&_graphic_novels,3.0
"Dark Moonlighting(Dark Moonlighting, #1)",Scott Haworth,3.49,2018-10-02,201.0,performing_arts,
Hurts Just Like Love,M. Thomas,4.05,2018-09-28,336.0,unknown,
"Legion: The Many Lives of Stephen Leeds(Legion, #1-3)",Brandon Sanderson,4.17,2018-09-20,352.0,fiction,5.0
The Ones That Got Away,Stephen Graham Jones,3.69,2018-08-31,256.0,fiction,1.0
Snap,Belinda Bauer,3.81,2018-08-29,282.0,fiction,
"It Ends with Us(It Ends with Us, #1)",Colleen Hoover,4.11,2018-08-09,386.0,fiction,
"The Art of Living Other People's Lives: Stories, Confessions, and Memorable Mistakes",Greg Dybec,3.79,2018-08-08,240.0,humor,4.0
"Lancelot(The Arthurian Tales, #1)",Giles Kristian,4.22,2018-08-08,450.0,unknown,
The Wife,Alafair Burke,3.86,2018-08-04,496.0,fiction,4.0
Anna Karenina,Leo Tolstoy,4.1,2018-08-02,964.0,literary_collections,
It's Always the Husband,Michele Campbell,3.69,2018-08-02,336.0,friendship,
The Song of Achilles,Madeline Miller,4.31,2018-08-01,352.0,fiction,2.0
"Simon vs. the Homo Sapiens Agenda(Simonverse, #1)",Becky Albertalli,4.14,2018-08-01,320.0,young_adult_fiction,3.0
Happy Doomsday,David Sosnowski,3.45,2018-08-01,444.0,dystopias,
The Invisible Man,H.G. Wells,3.63,2018-07-31,192.0,unknown,3.0
"The Burning White(Lightbringer, #5)",Brent Weeks,4.26,2018-07-29,960.0,fiction,3.0
"The Blood Mirror(Lightbringer, #4)",Brent Weeks,4.33,2018-07-27,704.0,fiction,4.0
"The Blood of Whisperers(The Vengeance Trilogy, #1)",Devin Madson,3.82,2018-07-25,320.0,unknown,
The Cabin at the End of the World,Paul Tremblay,3.33,2018-07-22,272.0,unknown,
The Outsider,Stephen King,4.01,2018-07-16,561.0,fiction,
